Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
6g7,77,SIB7AGO,3,I,A3,Sibling 7 - Age of onset,Num,3,640,642,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6g4 SIB7NEU = 8 (N/A),Blank if Question 6g4 SIB7NEU = 9 (Unknown),,,,
6h1,78,SIB8MOB,3,I,A3,Sibling 8 - Birth month,Num,2,644,645,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6h2,79,SIB8YOB,3,I,A3,Sibling 8 - Birth year,Num,4,647,650,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6h3,80,SIB8AGD,3,I,A3,Sibling 8 - Age at death,Num,3,652,654,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6h4,81,SIB8NEU,3,I,A3,Sibling 8 - Neurological problem,Num,1,656,656,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6h4 SIB8NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6h4 SIB8NEU = 9 (Unknown), then skip the remaining questions in the row"
6h5,82,SIB8PDX,3,I,A3,Sibling 8 - Primary diagnosis,Num,3,658,660,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6h4 SIB8NEU = 8 (N/A),Blank if Question 6h4 SIB8NEU = 9 (Unknown),,,,
6h6,83,SIB8MOE,3,I,A3,Sibling 8 - Method of evaluation,Num,1,662,662,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6h4 SIB8NEU = 8 (N/A),Blank if Question 6h4 SIB8NEU = 9 (Unknown),,,,
6h7,84,SIB8AGO,3,I,A3,Sibling 8 - Age of onset,Num,3,664,666,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6h4 SIB8NEU = 8 (N/A),Blank if Question 6h4 SIB8NEU = 9 (Unknown),,,,
6i1,85,SIB9MOB,3,I,A3,Sibling 9 - Birth month,Num,2,668,669,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6i2,86,SIB9YOB,3,I,A3,Sibling 9 - Birth year,Num,4,671,674,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6i3,87,SIB9AGD,3,I,A3,Sibling 9 - Age at death,Num,3,676,678,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6i4,88,SIB9NEU,3,I,A3,Sibling 9 - Neurological problem,Num,1,680,680,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6i4 SIB9NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6i4 SIB9NEU = 9 (Unknown), then skip the remaining questions in the row"
6i5,89,SIB9PDX,3,I,A3,Sibling 9 - Primary diagnosis,Num,3,682,684,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6i4 SIB9NEU = 8 (N/A),Blank if Question 6i4 SIB9NEU = 9 (Unknown),,,,
6i6,90,SIB9MOE,3,I,A3,Sibling 9 - Method of evaluation,Num,1,686,686,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6i4 SIB9NEU = 8 (N/A),Blank if Question 6i4 SIB9NEU = 9 (Unknown),,,,
6i7,91,SIB9AGO,3,I,A3,Sibling 9 - Age of onset,Num,3,688,690,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6i4 SIB9NEU = 8 (N/A),Blank if Question 6i4 SIB9NEU = 9 (Unknown),,,,
6j1,92,SIB10MOB,3,I,A3,Sibling 10 - Birth month,Num,2,692,693,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6j2,93,SIB10YOB,3,I,A3,Sibling 10 - Birth year,Num,4,695,698,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6j3,94,SIB10AGD,3,I,A3,Sibling 10 - Age at death,Num,3,700,702,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6j4,95,SIB10NEU,3,I,A3,Sibling 10 - Neurological problem,Num,1,704,704,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6j4 SIB10NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6j4 SIB10NEU = 9 (Unknown), then skip the remaining questions in the row"
6j5,96,SIB10PDX,3,I,A3,Sibling 10 - Primary diagnosis,Num,3,706,708,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6j4 SIB10NEU = 8 (N/A),Blank if Question 6j4 SIB10NEU = 9 (Unknown),,,,
6j6,97,SIB10MOE,3,I,A3,Sibling 10 - Method of evaluation,Num,1,710,710,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6j4 SIB10NEU = 8 (N/A),Blank if Question 6j4 SIB10NEU = 9 (Unknown),,,,
6j7,98,SIB10AGO,3,I,A3,Sibling 10 - Age of onset,Num,3,712,714,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6j4 SIB10NEU = 8 (N/A),Blank if Question 6j4 SIB10NEU = 9 (Unknown),,,,
6k1,99,SIB11MOB,3,I,A3,Sibling 11 - Birth month,Num,2,716,717,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6k2,100,SIB11YOB,3,I,A3,Sibling 11 - Birth year,Num,4,719,722,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6k3,101,SIB11AGD,3,I,A3,Sibling 11 - Age at death,Num,3,724,726,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6k4,102,SIB11NEU,3,I,A3,Sibling 11 - Neurological problem,Num,1,728,728,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6k4 SIB11NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6k4 SIB11NEU = 9 (Unknown), then skip the remaining questions in the row"
6k5,103,SIB11PDX,3,I,A3,Sibling 11 - Primary diagnosis,Num,3,730,732,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6k4 SIB11NEU = 8 (N/A),Blank if Question 6k4 SIB11NEU = 9 (Unknown),,,,
6k6,104,SIB11MOE,3,I,A3,Sibling 11 - Method of evaluation,Num,1,734,734,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6k4 SIB11NEU = 8 (N/A),Blank if Question 6k4 SIB11NEU = 9 (Unknown),,,,
6k7,105,SIB11AGO,3,I,A3,Sibling 11 - Age of onset,Num,3,736,738,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6k4 SIB11NEU = 8 (N/A),Blank if Question 6k4 SIB11NEU = 9 (Unknown),,,,
6l1,106,SIB12MOB,3,I,A3,Sibling 12 - Birth month,Num,2,740,741,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6l2,107,SIB12YOB,3,I,A3,Sibling 12 - Birth year,Num,4,743,746,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6l3,108,SIB12AGD,3,I,A3,Sibling 12 - Age at death,Num,3,748,750,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6l4,109,SIB12NEU,3,I,A3,Sibling 12 - Neurological problem,Num,1,752,752,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6l4 SIB12NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6l4 SIB12NEU = 9 (Unknown), then skip the remaining questions in the row"
6l5,110,SIB12PDX,3,I,A3,Sibling 12 - Primary diagnosis,Num,3,754,756,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6l4 SIB12NEU = 8 (N/A),Blank if Question 6l4 SIB12NEU = 9 (Unknown),,,,
6l6,111,SIB12MOE,3,I,A3,Sibling 12 - Method of evaluation,Num,1,758,758,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6l4 SIB12NEU = 8 (N/A),Blank if Question 6l4 SIB12NEU = 9 (Unknown),,,,
6l7,112,SIB12AGO,3,I,A3,Sibling 12 - Age of onset,Num,3,760,762,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6l4 SIB12NEU = 8 (N/A),Blank if Question 6l4 SIB12NEU = 9 (Unknown),,,,
6m1,113,SIB13MOB,3,I,A3,Sibling 13 - Birth month,Num,2,764,765,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6m2,114,SIB13YOB,3,I,A3,Sibling 13 - Birth year,Num,4,767,770,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6m3,115,SIB13AGD,3,I,A3,Sibling 13 - Age at death,Num,3,772,774,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6m4,116,SIB13NEU,3,I,A3,Sibling 13 - Neurological problem,Num,1,776,776,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6m4 SIB13NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6m4 SIB13NEU = 9 (Unknown), then skip the remaining questions in the row"
6m5,117,SIB13PDX,3,I,A3,Sibling 13 - Primary diagnosis,Num,3,778,780,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6m3 SIB13NEU = 8 (N/A),Blank if Question 6m3 SIB13NEU = 9 (Unknown),,,,
6m6,118,SIB13MOE,3,I,A3,Sibling 13 - Method of evaluation,Num,1,782,782,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6m4 SIB13NEU = 8 (N/A),Blank if Question 6m4 SIB13NEU = 9 (Unknown),,,,
6m7,119,SIB13AGO,3,I,A3,Sibling 13 - Age of onset,Num,3,784,786,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6m4 SIB13NEU = 8 (N/A),Blank if Question 6m4 SIB13NEU = 9 (Unknown),,,,
6n1,120,SIB14MOB,3,I,A3,Sibling 14 - Birth month,Num,2,788,789,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6n2,121,SIB14YOB,3,I,A3,Sibling 14 - Birth year,Num,4,791,794,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6n3,122,SIB14AGD,3,I,A3,Sibling 14 - Age at death,Num,3,796,798,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6n4,123,SIB14NEU,3,I,A3,Sibling 14 - Neurological problem,Num,1,800,800,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6n4 SIB14NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6n4 SIB14NEU = 9 (Unknown), then skip the remaining questions in the row"
6n5,124,SIB14PDX,3,I,A3,Sibling 14 - Primary diagnosis,Num,3,802,804,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6n4 SIB14NEU = 8 (N/A),Blank if Question 6n4 SIB14NEU = 9 (Unknown),,,,
6n6,125,SIB14MOE,3,I,A3,Sibling 14 - Method of evaluation,Num,1,806,806,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6n4 SIB14NEU = 8 (N/A),Blank if Question 6n4 SIB14NEU = 9 (Unknown),,,,
6n7,126,SIB14AGO,3,I,A3,Sibling 14 - Age of onset,Num,3,808,810,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6n4 SIB14NEU = 8 (N/A),Blank if Question 6n4 SIB14NEU = 9 (Unknown),,,,
6o1,127,SIB15MOB,3,I,A3,Sibling 15 - Birth month,Num,2,812,813,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6o2,128,SIB15YOB,3,I,A3,Sibling 15 - Birth year,Num,4,815,818,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6o3,129,SIB15AGD,3,I,A3,Sibling 15 - Age at death,Num,3,820,822,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6o4,130,SIB15NEU,3,I,A3,Sibling 15 - Neurological problem,Num,1,824,824,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6o4 SIB15NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6o4 SIB15NEU = 9 (Unknown), then skip the remaining questions in the row"
6o5,131,SIB15PDX,3,I,A3,Sibling 15 - Primary diagnosis,Num,3,826,828,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6o4 SIB15NEU = 8 (N/A),Blank if Question 6o4 SIB15NEU = 9 (Unknown),,,,
6o6,132,SIB15MOE,3,I,A3,Sibling 15 - Method of evaluation,Num,1,830,830,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6o3 SIB15NEU = 8 (N/A),Blank if Question 6o3 SIB15NEU = 9 (Unknown),,,,
6o7,133,SIB15AGO,3,I,A3,Sibling 15 - Age of onset,Num,3,832,834,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6o4 SIB15NEU = 8 (N/A),Blank if Question 6o4 SIB15NEU = 9 (Unknown),,,,
6p1,134,SIB16MOB,3,I,A3,Sibling 16 - Birth month,Num,2,836,837,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6p2,135,SIB16YOB,3,I,A3,Sibling 16 - Birth year,Num,4,839,842,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6 SIBS = 0,,,,,
6p3,136,SIB16AGD,3,I,A3,Sibling 16 - Age at death,Num,3,844,846,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6p4,137,SIB16NEU,3,I,A3,Sibling 16 - Neurological problem,Num,1,848,848,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6p4 SIB16NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6p4 SIB16NEU = 9 (Unknown), then skip the remaining questions in the row"
6p5,138,SIB16PDX,3,I,A3,Sibling 16 - Primary diagnosis,Num,3,850,852,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6p4 SIB16NEU = 8 (N/A),Blank if Question 6p4 SIB16NEU = 9 (Unknown),,,,
6p6,139,SIB16MOE,3,I,A3,Sibling 16 - Method of evaluation,Num,1,854,854,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6p4 SIB16NEU = 8 (N/A),Blank if Question 6p4 SIB16NEU = 9 (Unknown),,,,
6p7,140,SIB16AGO,3,I,A3,Sibling 16 - Age of onset,Num,3,856,858,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6p4 SIB16NEU = 8 (N/A),Blank if Question 6p4 SIB16NEU = 9 (Unknown),,,,
6q1,141,SIB17MOB,3,I,A3,Sibling 17 - Birth month,Num,2,860,861,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6q2,142,SIB17YOB,3,I,A3,Sibling 17 - Birth year,Num,4,863,866,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6q3,143,SIB17AGD,3,I,A3,Sibling 17 - Age at death,Num,3,868,870,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6q4,144,SIB17NEU,3,I,A3,Sibling 17 - Neurological problem,Num,1,872,872,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6q4 SIB17NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6q4 SIB17NEU = 9 (Unknown), then skip the remaining questions in the row"
6q5,145,SIB17PDX,3,I,A3,Sibling 17 - Primary diagnosis,Num,3,874,876,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6q4 SIB17NEU = 8 (N/A),Blank if Question 6q4 SIB17NEU = 9 (Unknown),,,,
6q6,146,SIB17MOE,3,I,A3,Sibling 17 - Method of evaluation,Num,1,878,878,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6q4 SIB17NEU = 8 (N/A),Blank if Question 6q4 SIB17NEU = 9 (Unknown),,,,
6q7,147,SIB17AGO,3,I,A3,Sibling 17 - Age of onset,Num,3,880,882,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6q4 SIB17NEU = 8 (N/A),Blank if Question 6q4 SIB17NEU = 9 (Unknown),,,,
6r1,148,SIB18MOB,3,I,A3,Sibling 18 - Birth month,Num,2,884,885,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6r2,149,SIB18YOB,3,I,A3,Sibling 18 - Birth year,Num,4,887,890,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6r3,150,SIB18AGD,3,I,A3,Sibling 18 - Age at death,Num,3,892,894,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
